iter	Passed	Remaining
648	886	479
649	888	478
650	889	476
651	890	475
652	891	473
653	892	472
654	893	470
655	894	469
656	895	467
657	896	466
658	897	464
659	898	462
660	899	461
661	901	460
662	903	459
663	904	457
664	905	455
665	906	454
666	906	452
667	907	451
668	908	449
669	909	448
670	910	446
671	911	444
672	912	443
673	913	441
674	914	440
675	916	439
676	917	437
677	918	436
678	919	434
679	920	433
680	921	431
681	922	429
682	923	428
683	924	426
684	925	425
685	926	423
686	926	422
687	927	420
688	928	419
689	930	417
690	932	416
691	933	415
692	933	413
693	934	412
694	935	410
695	936	409
696	937	407
697	938	406
698	939	404
699	940	403
700	941	401
701	942	400
702	943	398
703	944	397
704	946	396
705	948	394
706	949	393
707	950	391
708	951	390
709	952	388
710	953	387
711	955	386
712	956	385
713	957	383
714	958	382
715	959	380
716	961	379
717	962	378
718	963	376
719	964	375
720	965	373
721	966	372
722	967	370
723	968	369
724	969	367
725	970	366
726	971	364
727	972	363
728	973	361
729	973	360
730	976	359
731	977	357
732	978	356
733	979	354
734	980	353
735	981	352
736	982	350
737	983	349
738	984	347
739	985	346
740	986	344
741	987	343
742	988	341
743	990	340
744	991	339
745	992	337
746	993	336
747	994	335
748	995	333
749	996	332
750	997	330
751	998	329
752	999	327
753	1000	326
754	1001	324
755	1001	323
756	1002	321
757	1003	320
758	1006	319
759	1007	318
760	1008	316
761	1009	315
762	1010	313
763	1011	312
764	1013	311
765	1014	309
766	1015	308
767	1016	307
768	1017	305
769	1018	304
770	1020	303
771	1021	301
772	1023	300
773	1024	299
774	1025	297
775	1026	296
776	1027	294
777	1028	293
778	1029	291
779	1029	290
780	1030	289
781	1031	287
782	1032	286
783	1033	284
784	1035	283
785	1036	282
786	1037	280
787	1038	279
788	1039	278
789	1040	276
790	1041	275
791	1042	273
792	1043	272
793	1044	270
794	1045	269
795	1046	268
796	1047	266
797	1047	265
798	1049	263
799	1051	262
800	1052	261
801	1053	260
802	1054	258
803	1055	257
804	1056	255
805	1057	254
806	1058	253
807	1059	251
808	1060	250
809	1061	248
810	1062	247
811	1062	246
812	1065	245
813	1066	243
814	1067	242
815	1068	240
816	1069	239
817	1070	238
818	1071	236
819	1072	235
820	1073	234
821	1074	232
822	1075	231
823	1076	229
824	1076	228
825	1077	227
826	1079	225
827	1080	224
828	1082	223
829	1083	221
830	1084	220
831	1085	219
832	1086	217
833	1088	216
834	1089	215
835	1090	213
836	1090	212
837	1091	211
838	1092	209
839	1094	208
840	1095	207
841	1096	205
842	1097	204
843	1098	203
844	1099	201
845	1100	200
846	1101	199
847	1102	197
848	1103	196
849	1104	194
850	1105	193
851	1106	192
852	1107	190
853	1108	189
854	1110	188
855	1111	186
856	1112	185
857	1113	184
858	1114	182
859	1115	181
860	1116	180
861	1116	178
862	1117	177
863	1118	176
864	1119	174
865	1120	173
866	1121	172
867	1122	170
868	1124	169
869	1125	168
870	1126	166
871	1127	165
872	1128	164
873	1129	162
874	1130	161
875	1130	160
876	1131	158
877	1132	157
878	1133	156
879	1134	154
880	1135	153
881	1136	152
882	1137	150
883	1139	149
884	1141	148
885	1142	146
886	1142	145
887	1143	144
888	1144	142
889	1145	141
890	1146	140
891	1147	138
892	1148	137
893	1149	136
894	1150	134
895	1151	133
896	1152	132
897	1154	131
898	1155	129
899	1156	128
900	1157	127
901	1158	125
902	1159	124
903	1160	123
904	1161	121
905	1162	120
906	1163	119
907	1164	117
908	1165	116
909	1166	115
910	1167	114
911	1168	112
912	1169	111
913	1171	110
914	1172	108
915	1173	107
916	1174	106
917	1175	105
918	1176	103
919	1177	102
920	1178	101
921	1179	99
922	1180	98
923	1181	97
924	1182	95
925	1184	94
926	1185	93
927	1186	92
928	1187	90
929	1188	89
930	1189	88
931	1190	86
932	1191	85
933	1192	84
934	1193	82
935	1194	81
936	1195	80
937	1195	79
938	1196	77
939	1198	76
940	1200	75
941	1201	73
942	1201	72
943	1202	71
944	1203	70
945	1204	68
946	1205	67
947	1206	66
948	1207	64
949	1208	63
950	1209	62
951	1210	61
952	1211	59
953	1212	58
954	1214	57
955	1215	55
956	1216	54
957	1217	53
958	1218	52
959	1219	50
960	1220	49
961	1221	48
962	1222	46
963	1223	45
964	1224	44
965	1225	43
966	1226	41
967	1227	40
968	1229	39
969	1230	38
970	1231	36
971	1232	35
972	1233	34
973	1234	32
974	1235	31
975	1236	30
976	1237	29
977	1238	27
978	1239	26
979	1239	25
980	1240	24
981	1241	22
982	1243	21
983	1245	20
984	1246	18
985	1247	17
986	1247	16
987	1249	15
988	1250	13
989	1252	12
990	1253	11
991	1254	10
992	1255	8
993	1256	7
994	1257	6
995	1259	5
996	1260	3
997	1261	2
998	1262	1
999	1263	0
